OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,NEIGHBOURHOOD_158
501,GO-20114040426,2011.01.12,2011,January,12,Wednesday,12,D53,Other,Annex
502,GO-20114033175,2011.01.13,2011,January,13,Thursday,13,D13,Other,Briar Hill-Belgravia
503,GO-20113832781,2011.01.23,2011,January,23,Sunday,23,D51,Other,Cabbagetown-South St.James Town
504,GO-20113966773,2011.02.01,2011,February,1,Tuesday,32,D31,Shooting,Humber Summit
505,GO-20113530271,2011.02.05,2011,February,5,Saturday,36,D31,Stabbing,York University Heights
506,GO-20114017505,2011.02.11,2011,February,11,Friday,42,D12,Shooting,Beechborough-Greenbrook
507,GO-20113948450,2011.02.11,2011,February,11,Friday,42,D43,Shooting,Golfdale-Cedarbrae-Woburn
508,GO-20114017400,2011.02.16,2011,February,16,Wednesday,47,D12,Shooting,Weston
509,GO-201139593058,2011.02.19,2011,February,19,Saturday,50,D42,Other,Malvern East
510,GO-20113996966,2011.02.26,2011,February,26,Saturday,57,D42,Shooting,Malvern East
511,GO-20114010034,2011.03.02,2011,March,2,Wednesday,61,D11,Shooting,Lambton Baby Point
512,GO-20114029641,2011.03.03,2011,March,3,Thursday,62,D14,Other,Dovercourt Village
513,GO-20113973677,2011.03.20,2011,March,20,Sunday,79,D23,Shooting,Kingsview Village-The Westway
514,GO-20113914456,2011.03.21,2011,March,21,Monday,80,D11,Other,South Parkdale
515,GO-20113736070,2011.03.28,2011,March,28,Monday,87,D55,Shooting,The Beaches
516,GO-20113981811,2011.03.28,2011,March,28,Monday,87,D41,Shooting,Eglinton East
517,GO-20113942884,2011.04.06,2011,April,6,Wednesday,96,D54,Other,Danforth
518,GO-20113985830,2011.04.15,2011,April,15,Friday,105,D31,Other,York University Heights
519,GO-20113832638,2011.04.30,2011,April,30,Saturday,120,D23,Shooting,Rexdale-Kipling
520,GO-20113985926,2011.05.26,2011,May,26,Thursday,146,D42,Shooting,L'Amoreaux West
521,GO-20114047557,2011.05.29,2011,May,29,Sunday,149,D23,Shooting,Mount Olive-Silverstone-Jamestown
522,GO-20113582659,2011.06.16,2011,June,16,Thursday,167,D31,Shooting,Glenfield-Jane Heights
523,GO-20114071110,2011.07.01,2011,July,1,Friday,182,D33,Stabbing,Wexford/Maryvale
524,GO-20113984179,2011.07.22,2011,July,22,Friday,203,D43,Stabbing,Scarborough Village
525,GO-20113429437,2011.07.29,2011,July,29,Friday,210,D22,Shooting,Islington
526,GO-20113794249,2011.07.29,2011,July,29,Friday,210,D12,Other,Mount Dennis
527,GO-20114119820,2011.07.31,2011,July,31,Sunday,212,D12,Shooting,Mount Dennis
528,GO-20113443263,2011.08.10,2011,August,10,Wednesday,222,D31,Stabbing,Downsview
529,GO-20114082526,2011.08.20,2011,August,20,Saturday,232,D31,Shooting,Downsview
530,GO-20114131492,2011.08.23,2011,August,23,Tuesday,235,D32,Shooting,Clanton Park
531,GO-20113721549,2011.08.27,2011,August,27,Saturday,239,D11,Shooting,Lambton Baby Point
532,GO-20114137445,2011.09.11,2011,September,11,Sunday,254,D43,Other,Woburn North
533,GO-20113156934,2011.09.17,2011,September,17,Saturday,260,D41,Shooting,Clairlea-Birchmount
534,GO-20114136529,2011.10.02,2011,October,2,Sunday,275,D14,Shooting,Trinity-Bellwoods
535,GO-20113405116,2011.10.07,2011,October,7,Friday,280,D14,Other,Little Portugal
536,GO-20113887747,2011.10.09,2011,October,9,Sunday,282,D54,Shooting,Victoria Village
537,GO-20114156058,2011.10.14,2011,October,14,Friday,287,D54,Shooting,Taylor-Massey
538,GO-20114244358,2011.10.15,2011,October,15,Saturday,288,D31,Shooting,Black Creek
